427.529	-0	427.529	0.76	427.529	0.08	
427.994	-0	427.994	0.76	427.994	0.08	
428.459	-0	428.459	0.76	428.459	0.08	
428.924	-0	428.924	0.76	428.924	0.08	
429.388	-0	429.388	0.76	429.388	0.08	
429.853	-0	429.853	0.76	429.853	0.08	
430.318	-0	430.318	0.76	430.318	0.08	
430.783	-0	430.783	0.76	430.783	0.08	
431.248	-0	431.248	0.76	431.248	0.08	
431.713	-0	431.713	0.76	431.713	0.08	
432.178	-0	432.178	0.76	432.178	0.08	
432.643	-0	432.643	0.75	432.643	0.08	
433.108	-0	433.108	0.76	433.108	0.08	
433.573	-0	433.573	0.76	433.573	0.08	
434.038	-0	434.038	0.76	434.038	0.08	
434.503	-0	434.503	0.75	434.503	0.08	
434.968	-0	434.968	0.76	434.968	0.08	
435.434	-0	435.434	0.76	435.434	0.08	
435.899	-0	435.899	0.76	435.899	0.07	
436.364	-0	436.364	0.76	436.364	0.08	
436.83	-0	436.83	0.76	436.83	0.08	
437.295	-0	437.295	0.76	437.295	0.07	
437.761	-0	437.761	0.76	437.761	0.07	
438.226	-0	438.226	0.76	438.226	0.07	
438.692	-0	438.692	0.76	438.692	0.07	
439.157	-0	439.157	0.76	439.157	0.07	
439.623	-0	439.623	0.76	439.623	0.07	
440.088	-0	440.088	0.76	440.088	0.07	
440.554	-0	440.554	0.76	440.554	0.07	
441.02	-0	441.02	0.76	441.02	0.07	
441.485	-0	441.485	0.75	441.485	0.07	
441.951	-0	441.951	0.75	441.951	0.07	
442.417	-0	442.417	0.76	442.417	0.07	
442.883	-0	442.883	0.75	442.883	0.08	
443.349	-0	443.349	0.75	443.349	0.08	
443.815	-0	443.815	0.75	443.815	0.08	
444.281	-0	444.281	0.76	444.281	0.08	
444.747	-0	444.747	0.75	444.747	0.08	
445.213	-0	445.213	0.75	445.213	0.08	
445.679	-0	445.679	0.75	445.679	0.08	
446.145	-0	446.145	0.75	446.145	0.08	
446.611	-0	446.611	0.75	446.611	0.08	
447.077	-0	447.077	0.75	447.077	0.08	
447.543	-0	447.543	0.75	447.543	0.08	
448.009	-0	448.009	0.75	448.009	0.08	
448.476	-0	448.476	0.75	448.476	0.08	
448.942	-0	448.942	0.75	448.942	0.08	
449.408	-0	449.408	0.75	449.408	0.08	
449.875	-0	449.875	0.75	449.875	0.08	
450.341	-0	450.341	0.75	450.341	0.08	
450.808	-0	450.808	0.75	450.808	0.08	
451.274	-0	451.274	0.75	451.274	0.08	
451.741	-0	451.741	0.75	451.741	0.08	
452.207	-0	452.207	0.74	452.207	0.08	
452.674	-0	452.674	0.74	452.674	0.08	
453.141	-0	453.141	0.74	453.141	0.08	
453.607	-0	453.607	0.74	453.607	0.08	
